,Period,Time,Fx,Fy,Fz,Mx,My,Mz
127,80.0,47.356979966163635,-47.00618771975444,-125.8436324850021,-574.3895865518139,950.6280110029338,-546.2508052622875,79.34004165651318
128,81.0,47.719695806503296,-46.41409394301737,-131.32632080266296,-601.1939363268815,936.7468592167272,-596.4359425107857,20.75882448015613
129,82.0,48.08291816711426,-43.78542154179265,-130.00731846500886,-562.8165609363865,902.1766784076551,-589.6064774582035,39.66778208481198
130,83.0,48.45836842060089,-48.25770832924895,-129.41131862212555,-571.6781910943032,1029.0627276702855,-667.0085068257222,48.71334292396883
131,84.0,48.82078957557678,-50.01287065619646,-130.25337434074146,-600.1369828969626,999.5352287719684,-628.6698727801174,10.820524258680116
132,85.0,49.18339705467224,-42.884797511466644,-127.42856226913344,-552.3278625076285,1037.324621347093,-610.3062183393405,52.097598577464055
133,86.0,49.57097280025482,-47.7201588899397,-124.22845851012421,-531.2788117527618,917.6275565118035,-626.4232800811538,74.48622763922478
134,87.0,49.94594371318817,-48.788789861270025,-132.1038925829489,-602.7351688448191,960.5444239218434,-628.8717015412569,15.995076530196148
135,88.0,50.29598569869995,-43.90074505520372,-138.1858272179362,-577.8449195215012,1050.0925362024673,-579.3070930610912,54.140882473048606
136,89.0,50.646079778671265,-53.736468391741646,-139.91037045668335,-580.9615079278116,1239.9337869939525,-611.8199692477342,62.33048292836473
137,9.0,14.93042778968811,-41.91551645606665,-42.19487522997323,-628.2197327411465,-1122.6939443419421,9.907923062723532,264.52214759910566
138,90.0,51.008665919303894,-44.18342258522397,-130.44321065647364,-550.3364126852002,979.9229567783658,-615.6806681972612,-8.0694097750515
139,91.0,51.371116161346436,-50.215937678045435,-138.36583880942683,-593.3802262663535,1231.629899820234,-619.9941164380457,102.69996649061605
140,92.0,51.72106456756592,-44.295162221106914,-135.413409286186,-589.3268444556777,1152.3109412333645,-709.4066091272003,12.476937942933906
141,93.0,52.08360493183136,-43.90218399839813,-134.2865413759029,-535.9454579843967,1097.342309721629,-601.7710291462047,77.55230066666883
142,94.0,52.432992339134216,-51.99001914092435,-149.3845418840137,-632.746772056857,1391.3972819570386,-636.7620326823798,11.399559917908102
143,95.0,52.78247153759003,-41.83816074392806,-134.64981946649706,-531.9283529465846,951.3906900421138,-633.9039747918675,110.36912254868506
144,96.0,53.145251393318176,-52.69090893037518,-146.35679829363733,-571.3276447055543,1366.2542665870817,-669.2749235960023,23.583175405537396
145,97.0,53.49526047706604,-38.31889112141887,-143.06256043504615,-550.5390475964309,1278.9860848279038,-649.8364032707321,82.06150309745983
146,98.0,53.8451886177063,-51.41312642597002,-149.88697695280445,-563.6027317782148,1561.689952239982,-635.0113623794089,-8.576981176935597
147,99.0,54.19522476196289,-41.287429464001235,-142.82482440317767,-546.712552727871,1360.0143405802105,-625.2377586541373,59.68304370699393
